Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
Shoreline construction polyline (Hydro, 1:350k - 1:1,500k)	https://data.linz.govt.nz/layer/417-shoreline-construction-polyline-hydro-1350k-11500k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed (not afloat) artificial structure between the water and the land, i.e. a man-made coastline.<br /></p><p>S-57 Object Class: Shoreline construction<br /></p><p>S-57 Acronym: SLCONS<br /></p><p>This data was compiled for the use in the scale range 1:350,000 to 1:1,500,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:58		2015-05-19 14:22:32	2012-02-24 23:58:57	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:417
Shoreline construction polyline (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/741-shoreline-construction-polyline-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed (not afloat) artificial structure between the water and the land, i.e. a man-made coastline.<br /></p><p>S-57 Object Class: Shoreline construction<br /></p><p>S-57 Acronym: SLCONS<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-20 10:26:33	2012-02-25 00:44:24	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:741
Shoreline construction polyline (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/519-shoreline-construction-polyline-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A fixed (not afloat) artificial structure between the water and the land, i.e. a man-made coastline.<br /></p><p>S-57 Object Class: Shoreline construction<br /></p><p>S-57 Acronym: SLCONS<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:42		2015-05-19 15:06:03	2012-02-25 00:04:17	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:519
Signal station, traffic points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/608-signal-station-traffic-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A signal station is a place on shore from which signals are made to ships at sea. Traffic signal stations regulate the movement of traffic.<br /></p><p>S-57 Object Class: Signal station, traffic<br /></p><p>S-57 Acronym: SISTAT<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-19 16:08:03	2012-02-25 00:19:43	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:608
Signal station, traffic points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/739-signal-station-traffic-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A signal station is a place on shore from which signals are made to ships at sea. Traffic signal stations regulate the movement of traffic.<br /></p><p>S-57 Object Class: Signal station, traffic<br /></p><p>S-57 Acronym: SISTAT<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:38		2015-05-20 10:25:46	2012-02-25 00:44:03	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:739
Signal station, traffic points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/500-signal-station-traffic-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A signal station is a place on shore from which signals are made to ships at sea. Traffic signal stations regulate the movement of traffic.<br /></p><p>S-57 Object Class: Signal station, traffic<br /></p><p>S-57 Acronym: SISTAT<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:48		2015-05-19 15:05:44	2012-02-25 00:03:18	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:500
Signal station, warning points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/1595-signal-station-warning-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A signal station is a place on shore from which signals are made to ships at sea.<br /></p><p>S-57 Object Class: Signal station, warning<br /></p><p>S-57 Acronym: SISTAW<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2013-05-13 09:25:38		2015-05-19 16:09:44	2013-05-07 10:32:52	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:1595
Signal station, warning points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/740-signal-station-warning-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A signal station is a place on shore from which signals are made to ships at sea.<br /></p><p>S-57 Object Class: Signal station, warning<br /></p><p>S-57 Acronym: SISTAW<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-20 10:26:05	2012-02-25 00:44:14	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:740
Silent File Areas	https://data.canterburymaps.govt.nz/layer/7621-silent-file-areas/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Show the Silent Files Area</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-06-08 09:30:09		2015-08-02 21:13:30	2015-02-10 07:04:48	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:7621
Silo/tank points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/606-silo-tank-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-19 16:06:25	2012-02-25 00:19:25	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:606
Silo/tank points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/737-silo-tank-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:38		2015-05-20 10:23:47	2012-02-25 00:43:43	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:737
Silo/tank points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/499-silo-tank-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:52		2015-05-19 15:05:10	2012-02-25 00:03:15	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:499
Silo/tank polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/607-silo-tank-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-19 16:07:37	2012-02-25 00:19:36	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:607
Silo/tank polygon (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/1219-silo-tank-polygon-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2012-09-04 16:07:12		2015-05-19 15:05:27	2012-08-24 12:33:28	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:1219
Silo/tank polygons (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/738-silo-tank-polygons-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An enclosed container, used for storage.<br /></p><p>S-57 Object Class: Silo/tank<br /></p><p>S-57 Acronym: SILTNK<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-20 10:24:05	2012-02-25 00:43:50	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:738
Situation and Outlook for Primary Industries (SOPI)	http://www.mpi.govt.nz/document-vault/4747	dataset	Ministry for Primary Industries		stats_info@mpi.govt.nz		An assessment of the current state of our major primary sectors and their prospects for the next four years.The Situation and Outlook for Primary Industries is the new name for the Situation and Outlook for New Zealand Agriculture and Forestry (or SONZAF). Like its predecessor, it is published annually (with a six-monthly update) but now also includes a chapter on the seafood industry.	PDF	Annually	No		Manual	Other licensing (check with source agency)		2014-09-24 09:21:20	2014-09-24 00:00:00	2015-02-24 11:10:33	2014-09-24 00:00:00	
Skills Insight Tool	http://www.dol.govt.nz/services/LMI/tools/skillsinsight-tool.asp	dataset	Ministry of Business Innovation and Employment		info@dol.govt.nz		Designed to provide quantitative evidence about the supply of, and demand for, labour in New Zealand. In addition to supply and demand indicators, the tool displays demographic characteristics and industry compositions for all ninety-six 3-digit occupation groups.	Spreadsheet	Other-Unknown	No		Public	Other licensing (check with source agency)		2011-05-12 11:20:08	2010-03-03 00:00:00	2010-03-03 00:00:00	2010-03-03 00:00:00	
Slope	https://lris.scinfo.org.nz/layer/318-slope/	dataset	Landcare Research	Landcare Research	lris_support@landcareresearch.co.nz		<p>A 25m resolution slope grid, derived from a digital elevation model (DEM) clipped from Landcare Research's national 25m DEM for use as a regression variable for calculating BASE carrying capacity.  For use with Model 2.</p>	kml/shp,other geo	Other-Unknown	No		Feed	Landcare Data Use License	http://lris.scinfo.org.nz/license/landcare-data-use-licence-v1/	2013-12-02 15:40:16		2012-10-02 13:30:04	2012-10-02 13:30:04	tag:lris.scinfo.org.nz,2010-07:feed:data.govt.nz:layer:318
Slope topline polyline (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/614-slope-topline-polyline-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The upper marking of a slope, e.g. the ridge line or the separation line between two different gradients.<br /></p><p>S-57 Object Class: Slope topline<br /></p><p>S-57 Acronym: SLOTOP<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-19 16:12:07	2012-02-25 00:20:35	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:614
Slope topline polyline (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/745-slope-topline-polyline-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The upper marking of a slope, e.g. the ridge line or the separation line between two different gradients.<br /></p><p>S-57 Object Class: Slope topline<br /></p><p>S-57 Acronym: SLOTOP<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-20 10:28:19	2012-02-25 00:45:21	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:745
Slope topline polyline (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/503-slope-topline-polyline-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>The upper marking of a slope, e.g. the ridge line or the separation line between two different gradients.<br /></p><p>S-57 Object Class: Slope topline<br /></p><p>S-57 Acronym: SLOTOP<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:53		2015-05-19 15:07:18	2012-02-25 00:03:26	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:503
Sloping ground points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/612-sloping-ground-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An inclined surface.<br /></p><p>S-57 Object Class: Sloping ground<br /></p><p>S-57 Acronym: SLOGRD<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:42		2015-05-19 16:11:25	2012-02-25 00:20:16	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:612
Sloping ground points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/743-sloping-ground-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An inclined surface.<br /></p><p>S-57 Object Class: Sloping ground<br /></p><p>S-57 Acronym: SLOGRD<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-20 10:27:32	2012-02-25 00:44:51	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:743
Sloping ground points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/502-sloping-ground-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An inclined surface.<br /></p><p>S-57 Object Class: Sloping ground<br /></p><p>S-57 Acronym: SLOGRD<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-19 15:07:01	2012-02-25 00:03:23	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:502
Sloping ground polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/613-sloping-ground-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An inclined surface.<br /></p><p>S-57 Object Class: Sloping ground<br /></p><p>S-57 Acronym: SLOGRD<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-19 16:11:45	2012-02-25 00:20:26	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:613
Sloping ground polygons (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/744-sloping-ground-polygons-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An inclined surface.<br /></p><p>S-57 Object Class: Sloping ground<br /></p><p>S-57 Acronym: SLOGRD<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-20 10:27:51	2012-02-25 00:45:06	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:744
Small craft facility points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/1787-small-craft-facility-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A place at which a service generally of interest to small craft or pleasure boats is available.<br /></p><p>S-57 Object Class: Small craft facility<br /></p><p>S-57 Acronym: SMCFAC<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2014-03-17 13:56:46		2015-05-19 16:12:22	2013-12-23 15:50:54	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:1787
